title,currency,properties,neighborhood,title-2,title-3,price_dop
Disponible apartamento Juan dolió un reservaciones para día y semanas con 🌊🌊,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""55"", ""mini_bathrooms_quantity"": ""2""}","Residecial brisa marina
",Boca Chica,Santo Domingo,1000.0
"Hermosos Apartamentos en ""Los Jardines de Madre Vieja"" (San Cristóbal )",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""126""}",Madre Vieja Norte,San Cristóbal,San Cristóbal,3950000.0
Vendo apto amplio de 260 Metros con areas sociales ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""260"", ""mini_bathrooms_quantity"": ""1""}",El Vergel,Distrito Nacional,Santo Domingo,18774807.0
Excelente solar a pasos de Guavaberry ,DOP,"{""terrain_usage_type"": ""Comercial"", ""terrain_square_meters"": ""2400""}",Otro,Guayacanes,San Pedro de Macorís,2400000.0
Moderno Apartamento de alquiler en Piantini,USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""105"", ""mini_bathrooms_quantity"": ""1""}",Piantini,Distrito Nacional,Santo Domingo,103600.0
Vendo Apartamento en el Reparto Rosa,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""130""}",Herrera,Santo Domingo Oeste,Santo Domingo,4500000.0
"PROYECTO DE APTOS EN CONSTRUCCION  en la Aut. De san Isidro, A 3 minutos del OLE",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""117""}",,Santo Domingo Este,Santo Domingo,3500000.0
Villa para fiestas,DOP,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""5"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""001"", ""terrain_square_meters"": ""001"", ""mini_bathrooms_quantity"": ""2""}",Las Americas sector Luz María ,Otras ciudades,Santo Domingo,13000.0
"Bella Vista, 2 Hab, piso marmol, 2 parqueos, NEGOCIABLE",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 145, ""mini_bathrooms_quantity"": 1}",Bella Vista,Distrito Nacional,Santo Domingo,7565967.0
"Casa,apartamento y solares en venta",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 174, ""terrain_square_meters"": ""174"", ""mini_bathrooms_quantity"": ""1""}",Villa Mella,Santo Domingo Norte,Santo Domingo,20000.0
